Formula,Energy
Co8Li2O16, -148.15
Co6Li4O12,  -125.2
Co8O16, -136.53
Co2Li16O12, -150.92
Co8Li17O18, -225.35
Co6Li34O24, -323.57
Co7Li9O16, -177.81
Co20Li12O48, -430.86
Co6Li6,  -33.62
CoLi7, -18.996
Co3LiO4, -46.526
Co3Li5,  -29.32
Co4Li, -29.648
O8, -39.075
Co4O2, -30.925
Co8Li8, -69.448
Co8Li21O18, -240.84
Co5Li7O12, -132.81
Co13Li4O28, -253.16
Li4O4,  -37.83
Li4O4, -38.869
O4, -14.438
Co4Li16O16, -184.39
Co4Li18O16, -194.63
Co2O, -13.012
LiO2, -12.453
Co5Li24,   -75.6
Co16Li20O32, -371.25
Co2Li2O4, -44.889
Co2Li10O8, -102.53
O8, -39.692
O4, -19.543
O12, -59.152
O4, -19.796
O4, -19.542
O12,  -38.32
O4, -19.783
O4, -19.557
O12, -58.453
O, -2.9121
O2,  -9.869
O12, -54.071
O2, -6.3263
O4, -19.794
O10, -46.825
O32, -142.37
O16, -78.759
Li12, -22.209
Li4, -7.5925
Li, -1.7676
Li2, -3.0998
Li,  -1.901
Li12, -22.301
Li2, -3.8086
Li16, -22.889
Li6O6, -55.287
Li6O6, -57.377
LiO2, -12.148
LiO4, -16.632
Li2O, -14.367
Li6O6, -52.592
Li2O, -12.115
LiO2, -14.359
Li3O2, -22.539
Li2O4, -29.017
LiO8, -43.459
Co4Li16, -49.945
Co16, -105.72
Co, -6.9845
Co4, -25.712
Co12, -68.387
Co4, -24.295
Co6, -41.387
Co8, -56.283
Co4,  -28.27
Li8O8, -77.916
Co8Li4O16, -159.83
CoLiO3,  -25.04
Co4Li2, -28.957
Co6Li2O12, -114.32
Co4Li2, -31.244
Co4O2, -31.048
Co2O4,  -34.25
CoLi3O6, -46.415
Co2LiO4, -39.913
Co4LiO8, -74.333
Co4O8, -65.702
CoO2, -16.072
Co3LiO6, -57.157
Co3LiO, -15.248
CoLi2O, -13.823
Co2LiO4,  -39.63
Co3Li3, -26.064
Co2O6, -39.204
Co2O4, -34.009
Co8O4, -62.518
CoO4, -26.295
CoLi2O2, -26.421
CoLi2, -10.259
Co4Li12, -46.148
CoLi3, -12.211
Co4Li8, -41.177
Co4Li8, -34.092
Co2O6, -39.706
CoLi5,  -15.74
Co2Li4O4, -50.587
Co2O8, -48.301
Co4Li2O8, -80.469
Co14Li8O32, -300.91
Co7Li9O16, -177.36
Co7Li9O16, -177.64
Co8Li36O32, -391.63
Co6Li8O14, -154.74
Co5Li4O12, -115.96
Co11Li3O14, -163.22
Co4Li6O10,  -109.8
Co8Li4O16, -157.44
Co2LiO4, -39.665
CoLi, -8.0655
Co2Li6, -23.108
CoLi5, -15.755
Co4Li2, -31.385
Co3Li,  -22.51
Co3Li, -22.563
Co3Li, -22.659
Co2Li, -15.689
CoLi, -5.7601
CoLi3, -12.031
Co2Li6, -23.066
Co3Li,  -22.74
Co2Li2, -17.343
Co2Li2O4, -44.829
Co7Li, -50.807
Co2Li4, -20.894
Co10Li16O20, -248.04
Co3Li, -22.746
Co3Li, -22.462
Co4Li16O16, -184.97
Co4Li16O16, -183.51
Co7Li4O14, -142.51
Co2Li, -15.409
Co4O4,   -45.8
Co8Li8O12, -147.65
Co8O8, -95.033
Co2Li4, -20.934
Co2Li2,  -17.32
CoLi3O, -18.809
Co4Li2O8, -79.838
Co3Li5O8, -87.006
CoO, -11.964
Co4O8, -68.235
Co2Li4O6, -64.384
Co3Li5O8, -87.571
CoLi4, -12.212
Co4O, -23.104
Co4Li8O12, -126.93
Co8Li4O16, -159.46
Co4Li10O12,  -137.2
Co10O14, -138.71
Co3Li, -22.676
Co5Li, -36.583
Co3Li, -22.676
Co2O2, -22.966
Co2Li4O6, -64.879
CoLiO2, -21.992
Co16Li16, -133.42
Co4Li22O16, -212.76
Co8O12, -114.23
Co2LiO4,  -39.91
Co6LiO7, -82.545
Co4Li2, -31.158
CoLi5O4, -49.661
Co6O3, -46.783
Co2Li2, -17.438
CoLi3, -11.531
Co6O6, -71.914
Co3Li2, -24.424
CoLi2O2, -26.529
Co4Li, -28.469
CoLi3, -12.072
CoLi3, -12.037
CoLi5, -15.331
CoO2, -13.384
Co4O8, -66.273
Co2O6, -42.029
CoLi3, -12.045
Co2Li2, -17.424
Co6Li7, -51.301
CoLi4O4, -46.036
Co3Li3, -25.891
Co6Li6, -51.197
Co8Li, -57.945
CoLiO2, -22.625
Co4Li12O12, -147.72
CoLi5, -13.909
Co3Li, -22.732
Co3Li2O8, -70.688
Co8Li42O32, -416.93
CoLi3O, -12.683
Co4Li6O10, -109.44
Co2Li4O6, -64.472
Co2O2, -23.295
Co8O8, -95.743
Li4O4, -34.433
Co8Li6O16, -170.41
Co6Li8O14, -155.41
Co7Li9O16,  -178.1
Co24Li5, -177.14
Co13Li3O16, -187.43
Li2O4,   -28.4
O4, -14.711
Co2Li8O8, -92.306
Co2Li5O6, -68.408
O12, -54.134
Co6Li8O14, -155.23
Co8Li6O16, -170.13
Co2O4, -34.245
Co2Li4, -20.845
Co4Li, -25.508
Co10Li8, -81.295
Co4, -26.788
O, -3.3538
Co4Li4, -30.181
Co5Li8O10, -124.09
Co2Li7O6, -77.134
Co7Li9O16, -177.49
Co8Li32O32, -371.29
Co7Li9O16, -177.46
Co7Li9O16, -177.61
Co7Li9O16, -178.02
Co7Li9O16, -177.83
Co16Li8, -125.06
Co13Li9O28, -281.52
Co3Li5O8, -85.901
Li6O6, -51.608
Co46, -321.29
Co16O32, -265.45
Co7Li9O16, -177.61
Co8O8, -97.159
Co6Li8O14, -155.22
Co6Li8O14, -148.28
Co6Li8O14, -155.38
Co5Li7O12, -132.09
Co5Li7O12, -132.77
Co5Li7O12, -132.69
Co5Li7O12, -132.74
Co8Li6O16, -170.18
Co5Li7O12, -132.35
CoO3, -19.139
Co2O4,  -34.24
Co2O,  -15.59
Co4O4, -48.492
Co4Li4O8,  -90.47
CoO2, -17.122
Co13Li3O16, -187.37
Co6O6, -71.945
Co4Li17O16,  -190.2
Co20Li4O32,  -329.3
Co6Li, -38.519
Co, -7.0613
Li4O, -16.861
LiO8, -39.303
Li2O4,  -25.14
Co4Li4O4, -59.349
CoLiO2, -18.977
CoO4, -20.951
CoLi2, -9.6801
Co28, -194.51
Co8Li4, -62.597
Co5Li, -36.008
Co3Li3, -26.166
CoLi,  -8.568
Co3Li, -22.667
Co15Li13O28, -317.22
Co5Li7O12, -132.56
Co8Li5O16, -165.06
O2, -7.1848
Co4O4, -48.661
O, -2.5379
Co7O12, -109.15
Co3Li5O8, -87.436
Co3Li5O8, -86.946
Co6Li8O14, -155.09
Co7Li9O16, -177.89
Co8Li20O18, -241.26
Co2Li12O8, -110.67
Co2LiO4, -39.885
Co3Li5O8, -87.579
Co4Li20O16, -203.71
Li, -1.8368
Co5Li7O12, -132.65
Co6Li2, -44.671
Co15O28, -247.32
Co5Li5O10, -112.03
Co7Li9O16, -177.81
Co7Li9O16, -178.01
Co7Li9O16, -177.74
Co8Li32O32,  -370.5
Co14Li10O32, -313.34
Co7Li9O16, -177.65
Co7Li9O16, -177.85
Co7Li9O16, -177.52
Co7Li9O16, -177.99
Co7Li9O16, -177.58
Co7Li9O16, -177.97
Co7Li9O16, -177.83
Co7Li9O16, -178.02
Co7Li9O16, -177.67
Co7Li9O16, -177.85
Co7Li9O16,  -177.8
Co7Li9O16, -177.47
Co4Li3O8, -84.238
Co10Li8O24, -232.08
Co13Li9O28, -281.39
Co2O4, -26.805
Co6Li10, -55.955
Co4Li, -25.218
Co4Li6O10, -109.86
Co4Li6O10, -109.65
Co5Li7O12, -131.72
O24, -108.36
Co4Li6O10, -109.76
Co7Li5O12, -136.14
Co5Li7O12, -132.34
Co5Li7O12, -132.43
Co4Li14O12, -154.61
Co4Li14O12, -153.68
CoO4, -26.141
Co2Li4, -20.647
Co6Li6, -52.439
